Data,Produto,Quantidade,Vendas
2024/3/11,Pão de Queijo,90,25
2024/3/11,Pão Integral,45,25
2024/3/11,Pão Francês,110,55
2024/3/11,Pão de Leite,65,12
2024/3/11,Croissant,35,7
2024/2/11,Pão de Milho,55,10
2024/3/11,Baguete,30,3
2024/3/11,Torta de Frango,25,7
2024/3/11,Empada de Palmito,35,11
2024/3/11,Coxinha,55,10
2024/3/11,Risole,40,12
2024/3/11,Kibe,45,3
2024/3/11,Pastel de Carne,50,4
2024/3/11,Pastel de Queijo,45,7
2024/3/11,Sanduíche Natural,30,3
2024/3/11,Café,210,95
2024/3/11,Refrigerante,110,12
2024/3/11,Água Mineral,130,12
2024/3/11,Suco de Laranja,90,12
2024/3/11,Leite,65,7
2024/3/11,Bolo de Chocolate,35,10
2024/3/11,Bolo de Cenoura,25,7
2024/3/11,Bolo de Fubá,30,12
2024/3/11,Biscoito de Polvilho,75,25
2024/3/11,Farinha de Trigo,55,35
2024/3/11,Açúcar,100,12
2024/3/11,Arroz,65,3
2024/3/11,Feijão,55,4
2024/3/11,Macarrão,50,3
2024/3/11,Óleo de Cozinha,85,3
2024/3/11,Margarina,45,7
2024/3/11,Manteiga,40,7
2024/3/11,Presunto,5kg,1.8kg
2024/3/11,Queijo Mussarela,4kg,2.8kg
2024/3/11,Queijo Prato,3kg,1.6kg
2024/3/11,Ovos,150,3
2024/3/11,Achocolatado,60,6
2024/3/11,Óleo de Cozinha,15,3
2024/3/11,Mortadela,6kg,1.7kg
